legbody,ID,title,descr,LGA,SA4CODE_2021_2022,IPCCA_Behavioural_and_Cultural,IPCCA_Knowledge,IPCCA_Infrastructural_and_Technological,IPCCA_Nature_Based,IPCCA_Institutional,Funding,Organisation_University,Organisation_Federal_Government,Organisation_Private_Organisations,Organisation_State_Territory_Gov,Organisation_Civil_Society,Organisation_Regional_Organisation,Organisation_Local_Government,Organisation_Other,Purpose_Governance_Instruments,Purpose_Information_Gathering,Purpose_Research,Purpose_Knowledge_Building,Purpose_Stakeholder_Engagement,Purpose_Coordination,Purpose_Institutional_Change,Purpose_Intervention,Hazard_Fire,Hazard_Drought,Hazard_Temperature_Extremes,Hazard_Changes_Precipitation,Hazard_Coastal_erosion_flooding_change,Hazard_Ocean_warming_acidification,Hazard_Humidity,Hazard_Extreme_wind,Hazard_General_Climate_Change,Hazard_Riverine_Flooding,Climate_Risk_Assessment_Infrastructure_Built_Environment,Climate_Risk_Assessment_Health_Social_Support,Climate_Risk_Assessment_Natural_Environment,Climate_Risk_Assessment_Primary_Industries_Food_System,Climate_Risk_Assessment_Regional_Remote_Communities,Climate_Risk_Assessment_Economy_Trade_Financial_System,Climate_Risk_Assessment_Multi_System,Climate_Risk_Assessment_Defence_National_Security,Start_Year,End_Year,Party_Labor,Party_Liberal,Party_Nationals,Party_Labor_Greens,Party_Liberal_National,Population_Abundance
Australian Capital Territory,11,Icon Water Permanent Water Conservation Measures,Has rules around use of drinking water in Canberra_ Measures apply when temporary water restrictions are not in force,Unincorporated ACT,801,0,0,0,0,1,Private Funding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2010,NA,0,0,0,1,0,358600
Australian Capital Territory,20,Soil Amendments Boost Climate Resilience in Eucalypt Woodlands,Enhance climate resilience in temperate grassy eucalypt woodlands this study focused on restoring soil biophysical functions crucial for water capture and storage,Unincorporated ACT,801,0,0,0,1,0,NA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2014,2016,0,0,0,1,0,386713
Australian Capital Territory,14,Protecting quolls and bettongs at Mulligans Flat,Aims to reintroduce the Eastern Quoll and Eastern Bettong into a protected environment,Unincorporated ACT,801,0,1,0,0,0,NA,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2015,NA,0,0,0,1,0,390700
Australian Capital Territory,12,Improving the Health of Urban Waterways   tackling toxic blue green algae through community education and behaviour change,Focuses on reducing toxic blue green algae in ACTs water bodies through community education and behavioural change,Unincorporated ACT,801,1,0,0,0,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,2024,0,0,0,1,0,396857
Australian Capital Territory,9,Ginni Flats Wetland Complex Ramsar Site Management Plan,Preserves the largest Sphagnum bog and fen community_ Protects biodiversity mitigates climate change,Unincorporated ACT,801,0,0,0,1,0,NA,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2017,NA,0,0,0,1,0,415601
Australian Capital Territory,16,Boosting Climate Resilience in Macquarie Perch through Genetic Translocation,Involved translocating 71 genetically diverse individuals over three years from a related population,Unincorporated ACT,801,0,0,0,1,0,NA,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,2019,0,0,0,1,0,415601
Australian Capital Territory,4,Australian Capital Territory Farmers Support Package,Supports rural landholders to translate knowledge into action,Unincorporated ACT,801,0,0,0,0,1,ACT Government,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2018,NA,0,0,0,1,0,423000
Australian Capital Territory,6,Better Land Management Program,Aims to address soil acidity in ACT farming systems by conucting trials and demonstrations on local farms,Unincorporated ACT,801,0,1,0,0,0,National Landcare Program 2 Regional Land Partnerships,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2018,2023,0,0,0,1,0,423000
Australian Capital Territory,15,ACT Climate Change Strategy 2019 2025,Outlines the Australian Capital Territories commitment to reducing greenhouse gas emissions,Unincorporated ACT,801,0,0,0,0,1,ACT Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2019,2025,0,0,0,1,0,435730
Australian Capital Territory,18,Canberras Living Infrastructure Plan: Cooling the City,Aims to reduce the impacts of urban heat through the implementation of green infrastructure such as tree canopies green roofs and urban vegetation,Unincorporated ACT,801,0,0,0,0,1,ACT Government,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2020,2020,0,0,0,1,0,431380
