SA4CODE,POP2001,POP2002,POP2003,POP2004,POP2005,POP2006,POP2007,POP2008,POP2009,POP2010,POP2011,POP2012,POP2013,POP2014,POP2015,POP2016,POP2017,POP2018,POP2019,POP2020,POP2021,POP2022,POP2023,POP2024,POP2025
101,191497,194466,197379,199285,201314,203447,205640,208145,210814,213926,215828,217346,218808,220386,221959,223815,226847,229840,232901,236094,238618,240887,243189,246255,248376
102,294596,297530,299319,299999,301403,303051,306499,312338,316796,320361,322657,325163,327745,330377,333264,336611,340140,343074,345695,347734,348493,349826,352516,355354,357816
103,195829,195877,195436,194561,194282,194397,195402,196880,199268,201388,203399,204740,206239,207726,208900,210159,211323,212434,213243,213568,213545,214477,215154,216338,216979
104,123463,124641,125788,126751,127492,128522,129864,131179,132628,134257,135182,135825,136669,137446,138225,139246,140682,142194,143460,144454,146196,148136,149500,151057,152331
105,123582,122331,120764,119329,118238,117318,117022,117345,117789,118218,117991,117645,117334,117258,116966,116775,117166,117563,117616,117375,117180,117363,118099,118320,118372
106,218338,221738,224991,227202,230088,232414,236647,240209,243714,247804,251805,255815,259522,262919,265899,269161,273352,278225,282474,287767,293070,300024,305484,310824,316250
107,267384,269695,271098,271656,272158,272703,275393,279265,282827,286526,289027,290838,293619,296633,299624,302840,305727,308213,310565,312808,314091,318166,322240,326799,330469
108,187991,190436,192540,194833,196501,197017,199237,201687,203789,206306,208090,209646,211147,212751,214272,216100,218974,221737,224399,226916,228986,232285,234677,237164,239566
109,111735,111872,111771,111626,111941,112569,113050,113241,113541,113796,113795,114406,115240,116257,117061,117943,119115,120303,121299,122447,123382,125411,126943,128606,130078
110,179725,179226,178138,176921,176362,176770,177296,178270,179853,181428,182559,183215,183886,184556,185063,185647,186553,187327,187934,187548,186972,188454,189816,190835,191401
111,332194,334421,336442,337817,338950,339782,342705,346685,350501,353800,357562,359560,362085,364852,367105,369488,373902,378574,383177,387722,391306,396857,402388,407854,412359
112,214763,217473,220174,222272,223591,225750,228252,230740,233242,235288,236498,238246,240226,241985,243957,246626,248837,251102,253126,255448,256820,259751,261409,263901,265824
